GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-ecommerce,com.hcl.springbootecommerce.service,CheckoutServiceImpl,139,8,2,0,35,4,7,1,6,1
spring-boot-ecommerce,com.hcl.springbootecommerce.entity,OrderItem,42,3,0,0,7,1,12,1,12,1
spring-boot-ecommerce,com.hcl.springbootecommerce.entity,Order,96,8,4,0,18,2,25,1,23,1
spring-boot-ecommerce,com.hcl.springbootecommerce.entity,Customer,54,3,4,0,12,1,13,1,11,1
spring-boot-ecommerce,com.hcl.springbootecommerce.entity,Country,28,3,0,0,5,1,8,1,8,1
spring-boot-ecommerce,com.hcl.springbootecommerce.entity,State,149,3,24,0,3,1,22,1,10,1
spring-boot-ecommerce,com.hcl.springbootecommerce.entity,Address,49,3,0,0,8,1,14,1,14,1
spring-boot-ecommerce,com.hcl.springbootecommerce.entity,Product,480,3,84,0,11,1,68,1,26,1
spring-boot-ecommerce,com.hcl.springbootecommerce.entity,ProductCategory,21,3,0,0,4,1,6,1,6,1
spring-boot-ecommerce,com.hcl.springbootecommerce.dto,PurchaseResponse,82,0,14,0,2,0,13,0,6,0
spring-boot-ecommerce,com.hcl.springbootecommerce.dto,PaymentInfo,152,0,24,0,4,0,23,0,11,0
spring-boot-ecommerce,com.hcl.springbootecommerce.dto,Purchase,255,0,46,0,6,0,38,0,15,0
spring-boot-ecommerce,com.hcl.springbootecommerce.config,MyAppConfig,0,19,0,0,0,3,0,2,0,2
spring-boot-ecommerce,com.hcl.springbootecommerce.config,MyDataRestConfig,8,140,0,2,0,26,2,5,2,4
spring-boot-ecommerce,com.hcl.springbootecommerce.config,SecurityConfig,0,27,0,0,0,5,0,2,0,2
spring-boot-ecommerce,com.hcl.springbootecommerce,SpringBootEcommerceApplication,5,3,0,0,2,1,1,1,1,1
spring-boot-ecommerce,com.hcl.springbootecommerce.controller,CheckoutController,21,10,0,0,5,4,2,2,2,2
